FIPS,CITY,viol2017,prop2017,violChan,propChan
600296,Adelanto,643.124,2722.07,0.7971191,273.9556
600394,Agoura Hills,29.62655,1281.254,-41.90421,-197.0485
600884,Alhambra,161.1469,2084.331,-33.80519,-154.1372
600947,Aliso Viejo,,,,
602000,Anaheim,308.1597,2453.904,-55.53287,-418.4377
602364,Apple Valley,257.7862,2101.337,-66.43478,-500.7441
602462,Arcadia,72.29074,2409.78,-43.56437,242.6074
602896,Artesia,231.7953,1782.428,-262.6714,-972.4574
603386,Azusa,445.7224,2187.119,95.73962,-264.7832
603666,Baldwin Park,308.832,1892.26,-76.7854,32.52698
603820,Banning,383.601,2071.351,-251.2685,111.9572
604030,Barstow,1013.812,3406.736,-180.2809,-968.7913
604758,Beaumont,145.8785,2219.821,-170.4466,186.6301
604870,Bell,616.5249,2017.035,9.298645,-104.1356
604996,Bell Gardens,211.2861,1722.631,-104.3021,-78.75562
604982,Bellflower,373.8871,1937.214,-100.4564,-383.6351
606308,Beverly Hills,190.8313,2998.515,-91.59016,-527.4736
606434,Big Bear Lake,762.3436,4296.758,-274.3238,-464.2324
607218,Blythe,72.40305,2979.801,-402.2555,-1487.263
608100,Brea,142.138,2802.904,-48.14333,-186.8921
608786,Buena Park,245.7358,2656.179,-37.47247,-389.8037
608954,Burbank,123.6489,2282.358,-26.54243,-226.4978
609598,Calabasas,12.00719,1063.77,-49.20481,-46.20764
609864,Calimesa,154.3246,2789.948,-44.4361,-612.3667
610046,Camarillo,86.15489,1421.105,-83.17299,-236.5254
610928,Canyon Lake,41.81674,1377.798,-21.17822,540.8646
611194,Carlsbad,155.747,1573.317,4.832764,-299.0729
611530,Carson,348.006,2311.794,-114.2206,20.9436
612048,Cathedral City,220.203,1878.148,3.323486,-257.2813
612552,Cerritos,107.9354,3332.735,-73.20242,-447.2722
613210,Chino,222.7715,2197.805,-33.18144,-278.3369
613214,Chino Hills,75.68995,1250.454,-14.61515,-133.7937
613392,Chula Vista,163.5421,1249.038,-102.2799,-492.5677
613756,Claremont,82.70171,2365.723,-93.45638,-345.4602
614260,Coachella,350.5294,2992.962,10.17395,238.9744
614890,Colton,282.4875,2799.124,-56.94333,-347.4922
614974,Commerce,593.9616,7707.609,-113.9626,-1784.664
615044,Compton,933.1285,2612.266,-63.59277,180.9922
616350,Corona,71.17448,1963.527,-58.38373,-314.1309
616378,Coronado,84.28444,2281.833,-19.14463,774.1554
616532,Costa Mesa,224.0174,3421.918,-116.1396,-740.1584
